HAZUS_class_final,BRKEY,Strucname,Maxspan,Length,Mainspans,Total_Spans,NBI_Class,Seismic Design,Year of Most Recent Improvement,HAZUS_iseqType,
HWB4,58 0044R,VERDE DITCH,9.8,10.7,1,1,101,Y,1981,na,
HWB4,35 0291,RAYCHEM UNDERCROSSING,9.8,10.7,1,1,101,Y,2003,na,
HWB4,37C0220,STEVENS CREEK,10.1,10.7,1,1,104,Y,1976,na,
HWB4,50C0285,ARVIN-EDISON CANAL,10.1,10.7,1,1,501,Y,1982,na,
HWB4,54C0475,CYPRESS CHANNEL (EDISON AVE),10.1,10.7,1,1,101,Y,2001,na,
HWB4,55C0059,WILLIAMS CANYON CREEK,10.1,10.7,1,1,101,Y,1983,na,
HWB4,04C0184,JOHNSON GULCH,10.5,10.7,1,1,302,Y,1995,na,
HWB4,52C0169,MEDEA CREEK,10.4,10.7,1,1,319,Y,1975,na,
HWB4,12C0077,BUTTE CREEK,10.4,10.7,1,1,102,Y,1977,na,
HWB4,23C0126,PUTAH SOUTH CANAL,10.1,10.7,1,1,501,Y,1978,na,
HWB4,53C1558,SAWPIT WASH,8.2,10.7,1,1,111,Y,1978,na,
HWB4,12C0185,COLBY CREEK,10.4,10.7,1,1,102,Y,1979,na,
HWB4,54C0563,DEER CREEK CHANNEL,10.1,10.7,1,1,101,Y,1982,na,
HWB4,54C0460,DEER CREEK CHANNEL,10.1,10.7,1,1,101,Y,1982,na,
HWB4,57C0435,S. BR. CHOLLAS CRK (OCEANVIEW BLVD),9.8,10.7,1,1,101,Y,1982,na,
HWB4,48C0027,NORTH FORK BISHOP CREEK,9.8,10.7,1,1,104,Y,1983,na,
HWB4,04P0011,ALBEE CREEK,10.1,10.7,1,1,302,Y,1986,na,
HWB4,24C0627,WILLOW CREEK,10.1,10.7,1,1,311,Y,1987,na,
HWB4,56C0388,MERIDIAN STREET CHANNEL,9.8,10.7,1,1,101,Y,1988,na,
HWB4,37C0359,CROSS CHANNEL,10.2,10.7,1,1,101,Y,1990,na,
HWB4,57C0394,N FORK RAINBOW CRK (FIRST ST),10.1,10.7,1,1,101,Y,1990,na,
HWB4,12C0146,DRAINAGE CANAL,10.4,10.7,1,1,102,Y,1991,na,
HWB4,37C0441,DEER CREEK,10.7,10.7,1,1,302,Y,1996,na,
HWB4,09C0163,CROCKER CREEK,9.9,10.7,1,1,501,Y,2016,na,
HWB4,53C2205,SAN JOSE CRK,10.3,10.66,1,1,101,Y,2005,na,
HWB4,22C0162,LAKE WASHINGTON,10.2,10.6,1,1,504,Y,1976,na,
HWB4,56C0300,NORTH NORCO CHANNEL,10.2,10.6,1,1,101,Y,1979,na,
HWB4,33C0443,FLOOD CONTROL LINE B (BELL ST),10.6,10.6,1,1,101,Y,1990,na,
HWB4,33 0755,DOOLITTLE BRIDGE OVERHEAD,8.2,10.5,1,1,101,Y,2014,na,
HWB4,28C0468,CONTRA COSTA CANAL,9.9,10.5,1,1,101,Y,1976,na,
HWB4,56C0298,NORTH NORCO CHANNEL,10.1,10.5,1,1,101,Y,1979,na,
HWB4,33C0007,SINBAD CREEK,10.5,10.5,1,1,501,Y,1985,na,
HWB4,41C0189,LEWIS FORK FRESNO RIVER,10.5,10.5,1,1,101,Y,2002,na,
HWB4,53C2169,SAN MARTINEZ CHIQUITO CR,8.6000004,10.5,1,1,101,Y,2004,na,
HWB4,53 2397,EATON WASH,9.1,10.4,1,1,119,Y,1976,na,
HWB4,48 0015L,LOS ANGELES AQUEDUCT,10.1,10.4,1,1,501,Y,1979,na,
HWB4,53 3098,ROSECRANS AVE BUS STATION,8.5,10.4,1,1,101,Y,1996,na,
HWB4,23C0071,JAMESON CANYON CREEK,10.4,10.4,1,1,102,Y,1982,na,
HWB4,27C0031,HALLECK CREEK,9.4,10.4,1,1,104,Y,1982,na,
HWB4,55C0292,FULLERTON CREEK CHANNEL,9.4,10.4,1,1,501,Y,1976,na,
HWB4,28C0399,SAND CREEK,9.1,10.4,1,1,119,Y,2002,na,
HWB4,51C0332,BLOSSER CHANNEL,10,10.4,1,1,101,Y,1991,na,
HWB4,24C0221,CHICKEN RANCH SLOUGH,10.1,10.4,1,1,101,Y,1976,na,
HWB4,53C1208,HOPE STREET PUC,9.1,10.4,1,1,101,Y,1976,na,
HWB4,52C0226,TAPO CANYON CREEK,10,10.4,1,1,119,Y,1979,na,
HWB4,54C0694,CUCAMONGA WASH,9.1,10.4,1,1,101,Y,2011,na,
HWB4,10C0119,MILL CREEK,9.4,10.4,1,1,302,Y,1980,na,
HWB4,15C0081,PETROLEUM CREEK,9.8,10.4,1,1,101,Y,1980,na,
HWB4,54C0551,DEMENS CREEK CHANNEL,9.5,10.4,1,1,119,Y,1980,na,
HWB4,54C0552,DEMENS CREEK CHANNEL,9.5,10.4,1,1,119,Y,1980,na,
HWB4,53C1793,MILL CRK BR,10.4,10.4,1,1,319,Y,1982,na,
HWB4,48C0002,PINE CREEK (PINE CREEK RD),10.1,10.4,1,1,102,Y,1983,na,
HWB4,28C0444,CONTRA COSTA CANAL,10.4,10.4,1,1,501,Y,1984,na,
HWB4,19C0157,BEAR RIVER CANAL DRAIN,9.4,10.4,1,1,101,Y,1989,na,
HWB4,55C0596,MARSHBURN CHANNEL,9.8,10.4,1,1,101,Y,1990,na,
HWB4,24C0562,WHITEHOUSE CREEK,9.8,10.4,1,1,111,Y,2002,na,
HWB4,50C0376,KERN ISLAND CANAL,10.4,10.4,1,1,111,Y,2008,na,
HWB4,14 0051,COYOTE CREEK,9.8,10.2,1,1,101,Y,2003,na,
HWB4,56 0750,LEACH CANYON CHANNEL,9.6,10.2,1,1,101,Y,1987,na,
HWB4,05 0069,SCOTT MOUNTAIN CREEK,10.2,10.2,1,1,311,Y,1982,na,
HWB4,39 0257,EAST SIDE CANAL,10.2,10.2,1,1,119,Y,2014,na,
HWB4,12C0107,COMANCHE CREEK,9.6,10.2,1,1,302,Y,1991,na,
HWB4,53C2323,Baseline Road,9.9,10.2,1,1,101,Y,1998,na,
HWB4,53 0094,LIVE OAK CANYON CHANNEL,9.1,10.1,1,1,101,Y,1991,na,
HWB4,30 0020,SIX MILE CREEK,9.8,10.1,1,1,101,Y,1999,na,
HWB4,56 0366,COUNTY LINE CREEK BRIDGE,9.1,10.1,1,1,107,Y,2010,na,
HWB4,17C0083,SOUTH WOLF CREEK,9.5,10.1,1,1,302,Y,1982,na,
HWB4,23C0100,ALAMO CREEK,9.4,10.1,1,1,101,Y,1978,na,
HWB4,55C0147,FULLERTON CREEK CHANNEL,8.8,10.1,1,1,501,Y,1976,na,
HWB4,38C0052,T.I.D. CERES MAIN CANAL,9.5,10.1,1,1,101,Y,1980,na,
HWB4,50C0286,ARVIN-EDISON CANAL,9.4,10.1,1,1,501,Y,1984,na,
HWB4,41C0132,M.I.D. CANAL,9.1,10.1,1,1,101,Y,1975,na,
HWB4,31C0002,WOLF CREEK,9.1,10.1,1,1,702,Y,1975,na,
HWB4,46C0295,LEWIS CREEK,9.8,10.1,1,1,101,Y,1975,na,
HWB4,49C0379,E BRANCH SAN LUIS OBISPO CREEK,9.1,10.1,1,1,101,Y,1978,na,
HWB4,22C0151,SLOUGH 7,9.1,10.1,1,1,101,Y,1979,na,
HWB4,02C0114,WILLOW CREEK,9.6,10.1,1,1,302,Y,1982,na,
HWB4,54C0461,DEER CREEK CHANNEL,9.4,10.1,1,1,101,Y,1982,na,
HWB4,54C0462,DEER CREEK CHANNEL,9.4,10.1,1,1,101,Y,1982,na,
HWB4,54C0463,DEER CREEK CHANNEL,9.4,10.1,1,1,101,Y,1982,na,
HWB4,52C0189,REEVES CREEK,8.5,10.1,1,1,119,Y,1983,na,
HWB4,55C0699,SALT CREEK PUC,9.4,10.1,1,1,311,Y,1983,na,
HWB4,56C0334,NORTH NORCO CHANNEL,9.1,10.1,1,1,101,Y,1985,na,
HWB4,24C0422,POCKET CANAL,10.1,10.1,1,1,311,Y,1987,na,
HWB4,51C0216,CIENEGUITAS CREEK,9.3,10.1,1,1,101,Y,1993,na,
HWB4,49C0457,EAST BRANCH NIPOMO CREEK,7.3,10.1,1,1,111,Y,2009,na,
HWB4,05 0068,SCOTT MOUNTAIN CREEK,10,10,1,1,311,Y,1982,na,
HWB4,53C2165,SANTA CLRA RIV SF,9.2,10,1,1,119,Y,1989,na,
HWB4,14C0067,BURNS VALLEY CREEK,9.1,10,1,1,101,Y,1990,na,
HWB4,20C0527,SKY HAWK CREEK,10,10,1,1,111,Y,1995,na,
HWB4,27C0146,SAN ANSELMO CREEK,10,10,1,1,101,Y,1998,na,
HWB4,02C0270,LITTLE HUMBUG CREEK,9,10,1,1,501,Y,2000,na,
HWB4,51C0366,BLOSSER CHANNEL,8.5,10,1,1,101,Y,2005,na,
HWB4,42C0664,DRY CREEK CANAL,10,10,1,1,101,Y,2005,na,
HWB4,28C0247,ROLLING HILLS TRAIL,9.7,10,1,1,311,Y,2007,na,
HWB4,50C0360,CROSS VALLEY CANAL,3.3,10,1,1,219,Y,2012,na,
HWB4,37 0661,ADOBE CREEK,6.5,9.9,1,1,119,Y,2004,na,
HWB4,56C0296,NORTH NORCO CHANNEL,9.5,9.9,1,1,101,Y,1979,na,
HWB4,56C0299,NORTH NORCO CHANNEL,9.5,9.9,1,1,101,Y,1979,na,
HWB4,35C0187,GAZOS CREEK,8.6,9.9,1,1,311,Y,1982,na,
HWB4,22C0159,SOUTH FORK DUNNIGAN CREEK,9.1,9.9,1,1,101,Y,1985,na,
HWB4,22C0160,NORTH FORK DUNNIGAN CREEK,9.1,9.9,1,1,101,Y,1985,na,
HWB4,42C0623,WATTS CREEK TRIBUTARY,9.1,9.9,1,1,101,Y,1996,na,
HWB4,15C0184,SQUAW CREEK,9.9,9.9,1,1,911,Y,1998,na,
HWB4,05C0239,LITTLE BROWNS CREEK,8,9.9,1,1,101,Y,2007,na,
HWB4,33 0553F,S880-W84 CONNECTOR PUC,9.4,9.8,1,1,101,Y,1990,na,
HWB4,27C0043,SAN GERONIMO CREEK,9.8,9.8,1,1,104,Y,1993,na,
HWB4,11C0092,WATSON CREEK,9.4,9.8,1,1,103,Y,1980,na,
HWB4,19C0051,MINERS RAVINE,9.1,9.8,1,1,104,Y,1981,na,
HWB4,20C0326,FRANZ CREEK,8.4,9.8,1,1,302,Y,2002,na,
HWB4,06C0321,A.C.I.D. CANAL,8.8,9.8,1,1,702,Y,1985,na,
HWB4,42C0198,DRY CREEK CANAL,9.1,9.8,1,1,101,Y,1979,na,
HWB4,55C0703,FULLERTON CREEK CHANNEL,8.5,9.8,1,1,119,Y,1987,na,
HWB4,37C0774,MATADERO CREEK,9.1,9.8,1,1,101,Y,1975,na,
HWB4,39C0220,MUD SLOUGH,9.4,9.8,1,1,302,Y,1975,na,
HWB4,25C0022,NORTH FORK WEBER CREEK,9.8,9.8,1,1,311,Y,1975,na,
HWB4,45C0101,LAST CHANCE DITCH,9.1,9.8,1,1,302,Y,1975,na,
HWB4,28C0432,WILDCAT CREEK,9.4,9.8,1,1,501,Y,1977,na,
HWB4,53C0723,PALO VERDE DRN,7.9,9.8,1,1,101,Y,1977,na,
HWB4,53C0722,PALO VERDE DRN,7.9,9.8,1,1,101,Y,1977,na,
HWB4,52C0227,TAPO CANYON CREEK,9.4,9.8,1,1,119,Y,1979,na,
HWB4,19C0203,MINERS RAVINE,9.8,9.8,1,1,501,Y,1980,na,
HWB4,52C0251,MEDEA CREEK,9.8,9.8,1,1,319,Y,1980,na,
HWB4,54C0550,CUCAMONGA CREEK CHANNEL,9.1,9.8,1,1,119,Y,1980,na,
HWB4,22C0078,CHICKAHOMINY SLOUGH,9.4,9.8,1,1,911,Y,1983,na,
HWB4,44C0170,ROBINSON CANYON ROAD UC,9.8,9.8,1,1,311,Y,1985,na,
HWB4,50C0314,ARVIN-EDISON CANAL,8.8,9.8,1,1,119,Y,1985,na,
HWB4,53C1035,SIERRA MADRE WASH,5.5,9.8,1,1,101,Y,1987,na,
HWB4,37C0709,BASSETT STREET OH (VTA LRT),9.8,9.8,1,1,501,Y,1988,na,
HWB4,49C0409,TANK FARM DITCH,8.7,9.8,1,1,101,Y,1988,na,
HWB4,37C0370,ADOBE CREEK,9.4,9.8,1,1,501,Y,1989,na,
HWB4,38C0246,HIGHLINE CANAL,9,9.8,1,1,101,Y,1990,na,
HWB4,10F0037,BUNKER GULCH,9.1,9.8,1,1,302,Y,1992,na,
HWB4,49C0465,E FK SAN LUIS OBISPO CREEK,9.8,9.8,1,1,111,Y,1996,na,
HWB4,56C0622,MCVICKER CHANNEL,9.4,9.8,1,1,504,Y,1996,na,
HWB4,04C0249,FRANCIS CREEK,9.3,9.8,1,1,101,Y,2001,na,
HWB4,16C0109,BROWNS VALLEY DITCH,9.7,9.8,1,1,101,Y,2015,na,
HWB4,49C0480,PIEDRA VILLA CREEK,9.8,9.8,1,1,501,Y,2015,na,
HWB4,51C0151,MISSION CREEK,9.1,9.7,1,1,104,Y,1988,na,
HWB4,51C0147,MISSION CREEK,9.1,9.7,1,1,104,Y,1989,na,
HWB4,37C0366,STEVENS CREEK (CAMP VIA WEST),9.4,9.7,1,1,302,Y,1996,na,
HWB4,22C0179,WINTERS CANAL,8.9,9.7,1,1,101,Y,2007,na,
HWB4,45C0019,BRANCH LAST CHANCE DITCH,9.4,9.6,1,1,104,Y,1981,na,
HWB4,55P0004,LOS TRANSCOS CREEK,8.5,9.6,1,1,710,Y,1994,na,
HWB4,42C0618,HOT SPRINGS CREEK,8.1,9.6,1,1,101,Y,1995,na,
HWB4,44C0198,NATIVIDAD CREEK,9.6,9.6,1,1,111,Y,1998,na,
HWB4,55C0630,PETERS CANYON TRAIL UC,9.6,9.6,1,1,311,Y,1998,na,
HWB4,22C0186,ZAMORA CREEK,8.8,9.6,1,1,101,Y,2016,na,
HWB4,14C0075,ANDERSON CREEK,9.1,9.5,1,1,302,Y,1997,na,
HWB4,54C0403,SANTA ANA RIVER,9,9.5,1,1,302,Y,2003,na,
HWB4,36C0026,CORRALITOS CREEK,9.4,9.5,1,1,101,Y,1987,na,
HWB4,05C0231,EAST FORK HAYFORK CREEK,9,9.5,1,1,302,Y,2004,na,
HWB4,29C0430,WOODBRIDGE IRRIGATION DIST MAIN CANAL,8.5,9.5,1,1,101,Y,2005,na,
HWB4,28C0235,EAST BRANCH ALAMO CREEK,9.5,9.5,1,1,311,Y,2006,na,
HWB4,28 0091,STEGE DRAIN,8.2,9.4,1,1,102,Y,1984,na,
HWB4,56 0297,SAN JACINTO RIVER OVERFLOW,8.5,9.4,1,1,101,Y,2015,na,
HWB4,56 0295,SAN JACINTO RIVER OVERFLOW,8.5,9.4,1,1,101,Y,2015,na,
HWB4,51 0191L,SOLOMON SUMMIT UC,8.5,9.4,1,1,101,Y,1995,na,
HWB4,51 0191R,SOLOMON SUMMIT UC,8.5,9.4,1,1,101,Y,1995,na,
HWB4,12C0287,OSTAP ARCH,8.8,9.4,1,1,111,Y,1982,na,
HWB4,54C0010,K STREET UP,7.3,9.4,1,1,302,Y,2011,na,
HWB4,19C0108,SECRET RAVINE,8.8,9.4,1,1,102,Y,1976,na,
HWB4,21C0001,BELL CANYON CREEK,8.2,9.4,1,1,101,Y,1976,na,
HWB4,54C0478,REDHILL PARK RESERVOIR CHANNEL,9.1,9.4,1,1,302,Y,1981,na,
HWB4,11C0223,WILLOW CREEK,9.4,9.4,1,1,302,Y,2000,na,
HWB4,42C0566,FANCHER CREEK CANAL,8.8,9.4,1,1,101,Y,1991,na,
HWB4,42C0099,SAND CREEK,8.7,9.4,1,1,702,Y,1975,na,
HWB4,53C1656,MOBIL OIL CO ACCESS RD,9.4,9.4,1,1,311,Y,1975,na,
HWB4,54C0464,DEER CREEK CHANNEL,9.1,9.4,1,1,101,Y,1975,na,
HWB4,03C0044,STONES CANYON,8.8,9.4,1,1,302,Y,1976,na,
HWB4,45C0103,LAKELAND CANAL,8.7,9.4,1,1,302,Y,1976,na,
HWB4,19C0160,MINERS RAVINE,9.1,9.4,1,1,101,Y,1979,na,
HWB4,06F0027,SOUTH COW CREEK,9.4,9.4,1,1,302,Y,1980,na,
HWB4,53C1827,GRAND AVE TUNNEL,8.5,9.4,1,1,101,Y,1982,na,
HWB4,09C0092,HOSSELKUS CREEK,9.4,9.4,1,1,101,Y,1983,na,
HWB4,08C0237,UNNAMED CREEK,9.1,9.4,1,1,101,Y,1984,na,
HWB4,45C0056,LAKELAND CANAL,8.8,9.4,1,1,101,Y,1985,na,
HWB4,13C0039,EAST BRANCH SMITHNECK CREEK,8.7,9.4,1,1,101,Y,1987,na,
HWB4,56C0401,KITCHING CHANEL LINE 'Q',8.8,9.4,1,1,101,Y,1987,na,
HWB4,56C0164,DE LUZ CREEK,8.5,9.4,1,1,101,Y,1988,na,
HWB4,10C0061,LONG VALLEY CREEK,7.9,9.4,1,1,101,Y,1989,na,
HWB4,24C0591,DEADMAN GULCH SOUTH BRANCH,9.4,9.4,1,1,311,Y,1989,na,
HWB4,54C0730,DEER CREEK CHANNEL,7.2,9.4,1,1,101,Y,1989,na,
HWB4,52C0272,THACHER CREEK,8.5,9.4,1,1,119,Y,1991,na,
HWB4,24C0588,DEADMAN GULCH NORTH BRANCH,9.4,9.4,1,1,311,Y,1992,na,
HWB4,56C0474,OAK STREET CHANNEL,8.8,9.4,1,1,219,Y,1993,na,
HWB4,22C0176,WINTERS CANAL,7.9,9.4,1,1,101,Y,2006,na,
HWB4,14C0121,SEIGLER CANYON CREEK,8.8,9.4,1,1,302,Y,2007,na,
HWB4,53C2158,BEE CYN WASH,9.3999996,9.3999996,1,1,101,Y,2002,na,
HWB4,53C2166,SANTA CLARA SF,8.5,9.3,1,1,119,Y,1989,na,
HWB4,38C0247,HIGHLINE CANAL,9,9.3,1,1,101,Y,1990,na,
HWB4,05C0234,SOLDIER CREEK,7.3,9.3,1,1,311,Y,2006,na,
HWB4,05C0233,SOLDIER CREEK,7.3,9.3,1,1,311,Y,2006,na,
HWB4,06C0374,ZOGG CREEK,7.8,9.3,1,1,101,Y,2007,na,
HWB4,02 0199,KLAMATH RIVER SIDEHILL VIADUCT (BLUE NOSE),8,9.2,1,1,101,Y,2009,na,
HWB4,14C0119,COOPER CREEK,9.2,9.2,1,1,310,Y,2001,na,
HWB4,54C0387,LYTLE CREEK,9,9.2,1,1,302,Y,2003,na,
HWB4,54C0749,DEER CREEK CHANNEL,6.1,9.2,1,1,101,Y,1975,na,
HWB4,49C0467,E FK SAN LUIS OBISPO CREEK,9.2,9.2,1,1,311,Y,1987,na,
HWB4,24C0589,DEADMAN GULCH NORTH BRANCH,9.2,9.2,1,1,311,Y,2002,na,
HWB4,28C0482,CONTRA COSTA CANAL,8.8,9.2,1,1,501,Y,2003,na,
HWB4,53C2155,MARMION WAY OH,8.3,9.2,1,1,107,Y,2003,na,
HWB4,53C2156,FIGUEROA STREET OH,8.3,9.2,1,1,107,Y,2003,na,
HWB4,28C0246,EAST BRANCH ALAMO CREEK,9.2,9.2,1,1,311,Y,2005,na,
HWB4,53C2210,AMARGOSA CRK,8.54,9.1400003,1,1,119,Y,2009,na,
HWB4,19 0064,AUBURN RAVINE,9.1,9.1,1,1,119,Y,1989,na,
HWB4,20 0275,PURPLE DRAW,8.6,9.1,1,1,101,Y,1995,na,
HWB4,54 1288,WILDLIFE UNDERCROSSING NO. 2,7.7,9.1,1,1,101,Y,2018,na,
HWB4,02C0099,WILLOW CREEK,8.8,9.1,1,1,302,Y,1992,na,
HWB4,11C0217,SHOAT DRAW,8.6,9.1,1,1,302,Y,2006,na,
HWB4,44C0126,SPRECKELS CANAL,8.1,9.1,1,1,302,Y,2003,na,
HWB4,09C0069,EAST BRANCH LIGHTS CREEK,8.8,9.1,1,1,302,Y,1982,na,
HWB4,55C0176,SILVERADO CANYON CREEK,9.1,9.1,1,1,702,Y,1983,na,
HWB4,56C0230,STETSON AVENUE CHANNEL,8.2,9.1,1,1,101,Y,1975,na,
HWB4,22C0118,CHICKAHOMINY SLOUGH,8.8,9.1,1,1,101,Y,1976,na,
HWB4,50C0309,CARRIER CANAL,9.1,9.1,1,1,319,Y,1977,na,
HWB4,50C0307,STINE CANAL,9.1,9.1,1,1,319,Y,1977,na,
HWB4,47C0027,IRRIGATION CANAL,8.5,9.1,1,1,101,Y,1978,na,
HWB4,52C0120,TAPO CANYON CREEK,9,9.1,1,1,119,Y,1979,na,
HWB4,06C0336,BOULDER CREEK,8.5,9.1,1,1,311,Y,1982,na,
HWB4,37C0505,HERBERT CREEK,8.5,9.1,1,1,302,Y,1985,na,
HWB4,24C0592,DEADMAN GULCH NORTH BRANCH,9.1,9.1,1,1,101,Y,1986,na,
HWB4,19C0199L,MARKHAM RAVINE,9.1,9.1,1,1,911,Y,1987,na,
HWB4,32C0031,MORMON CREEK,8.5,9.1,1,1,101,Y,1988,na,
HWB4,30C0030,INDIAN CREEK,8.2,9.1,1,1,107,Y,1989,na,
HWB4,20C0553,"MARK WEST CREEK, S BRANCH",7.8,9.1,1,1,311,Y,1991,na,
HWB4,42C0585,DRY CREEK CANAL,9.1,9.1,1,1,101,Y,1991,na,
HWB4,53C1965,STOKES CYN CRK,9.1,9.1,1,1,119,Y,1991,na,
HWB4,56C0430,HEMET CHANNEL,8.8,9.1,1,1,101,Y,1991,na,
HWB4,24C0446,LINDA CREEK,9.1,9.1,1,1,107,Y,1992,na,
HWB4,19C0197,SQUAW CREEK,8.8,9.1,1,1,701,Y,1993,na,
HWB4,03C0086,HALLS CREEK,9.1,9.1,1,1,101,Y,1995,na,
HWB4,35C0210,TUNNEL G PUC,7.7,9.1,1,1,207,Y,2001,na,
HWB4,23C0265,NORTH HORSE CREEK,8.5,9.1,1,1,111,Y,2003,na,
HWB4,23C0266,NORTH HORSE CREEK,8.5,9.1,1,1,111,Y,2005,na,
HWB4,28C0236,EAST BRANCH ALAMO CREEK,9.1,9.1,1,1,311,Y,2006,na,
HWB4,20C0547,ST HELENA RD SHV,8.7,9.1,1,1,302,Y,2007,na,
HWB4,15C0204,TERESA CREEK,8.3,9.1,1,1,101,Y,2010,na,
HWB4,53C2337,CORRAL CYN OVER SOLSTICE CREEK,8.534,9.04,1,1,111,Y,2008,na,
HWB4,52 0050,HONDO BARRANCA,8.3,9,1,1,104,Y,1993,na,
HWB4,39C0084,GARZAS CREEK,8.5,9,1,1,101,Y,1977,na,
HWB4,52C0267,OXNARD WEST DRAIN,8.5,9,1,1,101,Y,1988,na,
HWB4,46C0121,DRY CREEK,8.7,9,1,1,101,Y,2002,na,
HWB4,20C0551,SONOMA MOUNTAIN ROAD SHV 1,8.9,9,1,1,302,Y,2011,na,
HWB4,53 2880,SAN ANTONIO WASH,7.4,8.9,1,1,119,Y,2001,na,
HWB4,25C0010,HANGTOWN CREEK,8.6,8.9,1,1,101,Y,2009,na,
HWB4,17C0098,TROUT CREEK,7.3,8.9,1,1,111,Y,2006,na,
HWB4,40C0068,BEAN CREEK,8.5,8.9,1,1,111,Y,2016,na,
HWB4,40C0069,BEAN CREEK,8.5,8.9,1,1,111,Y,2016,na,
HWB4,31 0009,NORTH FORK MOKELUMNE RIVER,7.9,8.8,1,1,501,Y,1986,na,
HWB4,28 0260G,E4-S242 CONNECTOR OC,7.9,8.8,1,1,101,Y,1978,na,
HWB4,04 0281,MARINA UC,7.5,8.8,1,1,311,Y,1979,na,
HWB4,06C0299,ROARING CREEK,8.5,8.8,1,1,104,Y,1978,na,
HWB4,42C0237,WAHTOKE CREEK,8.4,8.8,1,1,702,Y,1979,na,
HWB4,02C0170,INDIAN CREEK,8.4,8.8,1,1,302,Y,1995,na,
HWB4,08C0275,JUDD CREEK,8.2,8.8,1,1,302,Y,2004,na,
HWB4,53C2321,Baseline Road,7.9,8.8,1,1,101,Y,1983,na,
HWB4,20C0351,FELTA CREEK,8.5,8.8,1,1,302,Y,1975,na,
HWB4,56C0219,STETSON CHANNEL,8.5,8.8,1,1,101,Y,1975,na,
HWB4,56C0220,STETSON CHANNEL,8.5,8.8,1,1,101,Y,1975,na,
HWB4,56C0264,STETSON CHANNEL,7.6,8.8,1,1,101,Y,1975,na,
HWB4,28C0413,GRAYSON CREEK,8.5,8.8,1,1,101,Y,1979,na,
HWB4,10F0053,NORTH FORK BIG RIVER,8.8,8.8,1,1,911,Y,1982,na,
HWB4,53C1060,RUSTIC CANYON CHANNEL,8.2,8.8,1,1,101,Y,1982,na,
HWB4,53C1071,RUSTIC CANYON CHANNEL,8.2,8.8,1,1,101,Y,1982,na,
HWB4,52C0271,ARROYO CONEJO,8.2,8.8,1,1,119,Y,1985,na,
HWB4,35C0167,CORTE MADERA CREEK,7.9,8.8,1,1,101,Y,1989,na,
HWB4,51C0325,MISSION CREEK,8.5,8.8,1,1,119,Y,1996,na,
HWB4,54C0737,DAY CREEK CHANNEL,8,8.8,1,1,119,Y,2000,na,
HWB4,28C0132,CONTRA COSTA CANAL,8.4,8.7,1,1,302,Y,1995,na,
HWB4,53 0104M,CHARTER OAK WASH,7.6,8.5,1,1,101,Y,1975,na,
HWB4,52 0370,CAMARILLO HILLS DRAIN,7.3,8.5,1,1,119,Y,1975,na,
HWB4,55 0742,TUSTIN CHANNEL,8.5,8.5,1,1,501,Y,1995,na,
HWB4,52 0051,LONG CANYON CREEK,8.5,8.5,1,1,319,Y,2000,na,
HWB4,08C0074,RATTLESNAKE CREEK,7.6,8.5,1,1,302,Y,1994,na,
HWB4,53C0977,FISH CRK,7.9,8.5,1,1,302,Y,1976,na,
HWB4,25C0080,CLEAR CREEK,6.7,8.5,1,1,302,Y,1987,na,
HWB4,08C0326,DIGGER CREEK,8.2,8.5,1,1,101,Y,1975,na,
HWB4,46C0440,MILL CREEK,7.9,8.5,1,1,101,Y,1999,na,
HWB4,28C0133,PINOLE CREEK,8.2,8.5,1,1,104,Y,1997,na,
HWB4,56C0352,CHERLY CREEK,7.6,8.5,1,1,101,Y,2010,na,
HWB4,24C0399,ARCADE CREEK,8.5,8.5,1,1,311,Y,1975,na,
HWB4,56C0263,STETSON CHANNEL,7.6,8.5,1,1,101,Y,1975,na,
HWB4,02C0098,SHOVEL CREEK,7.6,8.5,1,1,702,Y,1977,na,
HWB4,53C0520,LIVE OAK WASH,6.4,8.5,1,1,101,Y,1977,na,
HWB4,02C0214,LITTLE SHASTA RIVER,7.6,8.5,1,1,101,Y,1978,na,
HWB4,36C0008,CORCORAN LAGOON,7.7,8.5,1,1,501,Y,1978,na,
HWB4,52C0247,ARUNDELL BARRANCA,7.9,8.5,1,1,104,Y,1979,na,
HWB4,52C0240,CAMARILLO HILLS DRAIN,7.9,8.5,1,1,119,Y,1979,na,
HWB4,22C0155,DRY SLOUGH,8.2,8.5,1,1,911,Y,1983,na,
HWB4,20C0568,ROGERS CREEK,8.5,8.5,1,1,101,Y,1984,na,
HWB4,51C0315,LAS VEGAS CREEK,7.6,8.5,1,1,101,Y,1985,na,
HWB4,55C0534,HANDY CREEK,7.3,8.5,1,1,101,Y,1990,na,
HWB4,56C0357,ARIZONA STREET CHANNEL,7.9,8.5,1,1,101,Y,1986,na,
HWB4,54C0725,DAY CREEK CHANNEL,7.6,8.5,1,1,219,Y,1990,na,
HWB4,37C0399,PENITENCIA CREEK,8.5,8.5,1,1,311,Y,1992,na,
HWB4,08C0356,HOAG SLOUGH,7.6,8.5,1,1,303,Y,1996,na,
HWB4,15C0188,SULPHUR CREEK,7.9,8.5,1,1,101,Y,2001,na,
HWB4,19C0228,AIRPORT SLOUGH,8.5,8.5,1,1,111,Y,2006,na,
HWB4,38C0337,SALADO CREEK,8.2,8.5,1,1,107,Y,2006,na,
HWB4,54C0709,WATERMAN CANYON,8.1,8.5,1,1,501,Y,2006,na,
HWB4,54C0708,WATERMAN CANYON,8.1,8.5,1,1,501,Y,2006,na,
